from,to,time (ms),mem (kb),order_min,order_max,order_median,size_min,size_max,size_median,density_min,density_max,density_median
6712,6722,14620,2046432,19,30,30.0,45,45,45.0,0.10344827586206896,0.2631578947368421,0.10344827586206896
6722,6732,14700,2048480,19,30,30.0,45,45,45.0,0.10344827586206896,0.2631578947368421,0.10344827586206896
6732,6742,14440,2045660,19,31,30.0,45,45,45.0,0.0967741935483871,0.2631578947368421,0.10344827586206896
6742,6752,14230,2047452,30,30,30.0,45,45,45.0,0.10344827586206896,0.10344827586206896,0.10344827586206896
6752,6762,14990,2047456,30,30,30.0,45,45,45.0,0.10344827586206896,0.10344827586206896,0.10344827586206896
6762,6772,14980,2047972,30,30,30.0,45,45,45.0,0.10344827586206896,0.10344827586206896,0.10344827586206896
6772,6782,14920,2047452,30,30,30.0,45,45,45.0,0.10344827586206896,0.10344827586206896,0.10344827586206896
6782,6792,13720,2042848,19,30,19.0,45,46,46.0,0.10344827586206896,0.26900584795321636,0.26900584795321636
6792,6802,12950,2035936,12,19,19.0,46,46,46.0,0.26900584795321636,0.696969696969697,0.26900584795321636
6802,6812,12510,2037984,13,24,19.0,46,46,46.0,0.16666666666666666,0.5897435897435898,0.26900584795321636
6812,6822,13350,2041824,19,32,19.0,46,46,46.0,0.09274193548387097,0.26900584795321636,0.26900584795321636
6822,6832,13010,2036448,12,19,19.0,46,46,46.0,0.26900584795321636,0.696969696969697,0.26900584795321636
6832,6842,14880,2160608,13,100,19.0,46,46,46.0,0.009292929292929294,0.5897435897435898,0.26900584795321636
6842,6852,13020,2035932,12,19,19.0,46,46,46.0,0.26900584795321636,0.696969696969697,0.26900584795321636
6852,6862,11250,2036964,13,19,19.0,46,46,46.0,0.26900584795321636,0.5897435897435898,0.26900584795321636
6862,6872,13320,2036908,19,23,19.0,46,46,46.0,0.18181818181818182,0.26900584795321636,0.26900584795321636
6872,6882,13180,2036964,19,19,19.0,46,46,46.0,0.26900584795321636,0.26900584795321636,0.26900584795321636
6882,6892,12970,2034908,12,19,19.0,46,46,46.0,0.26900584795321636,0.696969696969697,0.26900584795321636
6892,6902,12360,2044128,19,46,19.0,46,46,46.0,0.044444444444444446,0.26900584795321636,0.26900584795321636
6902,6912,9690,2036280,12,19,17.5,46,46,46.0,0.26900584795321636,0.696969696969697,0.3261695906432749
6912,6922,11270,2038240,12,25,19.0,46,46,46.0,0.15333333333333332,0.696969696969697,0.26900584795321636
6922,6932,13000,2037980,13,19,19.0,47,47,47.0,0.27485380116959063,0.6025641025641025,0.27485380116959063
6932,6942,13190,2038240,13,19,19.0,47,47,47.0,0.27485380116959063,0.6025641025641025,0.27485380116959063
6942,6952,12980,2036192,13,19,18.5,47,47,47.0,0.27485380116959063,0.6025641025641025,0.2910216718266254
6952,6962,13170,2037984,13,19,19.0,47,47,47.0,0.27485380116959063,0.6025641025641025,0.27485380116959063
6962,6972,14410,2055392,12,47,19.0,47,47,47.0,0.043478260869565216,0.7121212121212122,0.27485380116959063
6972,6982,13790,2038752,19,19,19.0,47,47,47.0,0.27485380116959063,0.27485380116959063,0.27485380116959063
6982,6992,13250,2037732,19,19,19.0,47,47,47.0,0.27485380116959063,0.27485380116959063,0.27485380116959063
6992,7002,13060,2037984,13,19,13.0,47,47,47.0,0.27485380116959063,0.6025641025641025,0.6025641025641025
7002,7012,15240,2056416,19,32,32.0,48,48,48.0,0.0967741935483871,0.2807017543859649,0.0967741935483871
7012,7022,15240,2050528,12,32,32.0,48,48,48.0,0.0967741935483871,0.7272727272727273,0.0967741935483871
7022,7032,14680,2055136,13,32,32.0,48,48,48.0,0.0967741935483871,0.6153846153846154,0.0967741935483871
7032,7042,16010,2057440,32,32,32.0,48,48,48.0,0.0967741935483871,0.0967741935483871,0.0967741935483871
7042,7052,15950,2057696,32,32,32.0,48,48,48.0,0.0967741935483871,0.0967741935483871,0.0967741935483871
7052,7062,16280,2057180,32,32,32.0,48,48,48.0,0.0967741935483871,0.0967741935483871,0.0967741935483871
7062,7072,14720,2053088,13,32,32.0,48,48,48.0,0.0967741935483871,0.6153846153846154,0.0967741935483871
7072,7082,16160,2055644,21,32,32.0,48,48,48.0,0.0967741935483871,0.22857142857142856,0.0967741935483871
7082,7092,15940,2054368,13,32,32.0,48,48,48.0,0.0967741935483871,0.6153846153846154,0.0967741935483871
7092,7102,14700,2053852,13,32,32.0,48,48,48.0,0.0967741935483871,0.6153846153846154,0.0967741935483871
7102,7112,15500,2054872,13,32,32.0,48,48,48.0,0.0967741935483871,0.6153846153846154,0.0967741935483871
7112,7122,15130,2055648,13,32,32.0,48,48,48.0,0.0967741935483871,0.6153846153846154,0.0967741935483871
7122,7132,14530,2055136,12,32,32.0,48,48,48.0,0.0967741935483871,0.7272727272727273,0.0967741935483871
7132,7142,15720,2056416,16,32,32.0,48,48,48.0,0.0967741935483871,0.4,0.0967741935483871
7142,7152,15910,2057180,32,32,32.0,48,48,48.0,0.0967741935483871,0.0967741935483871,0.0967741935483871
7152,7162,15580,2054112,24,32,32.0,48,48,48.0,0.0967741935483871,0.17391304347826086,0.0967741935483871
7162,7172,16000,2055904,32,32,32.0,48,48,48.0,0.0967741935483871,0.0967741935483871,0.0967741935483871
7172,7182,15970,2053856,32,32,32.0,48,48,48.0,0.0967741935483871,0.0967741935483871,0.0967741935483871
7182,7192,13350,2056412,13,32,32.0,48,48,48.0,0.0967741935483871,0.6153846153846154,0.0967741935483871
7192,7202,16340,2055648,32,32,32.0,48,48,48.0,0.0967741935483871,0.0967741935483871,0.0967741935483871
7202,7212,15940,2055900,32,32,32.0,48,48,48.0,0.0967741935483871,0.0967741935483871,0.0967741935483871
7212,7222,16220,2055388,32,32,32.0,48,48,48.0,0.0967741935483871,0.0967741935483871,0.0967741935483871
7222,7232,15820,2057180,32,32,32.0,48,48,48.0,0.0967741935483871,0.0967741935483871,0.0967741935483871
7232,7242,15450,2054112,13,32,32.0,48,48,48.0,0.0967741935483871,0.6153846153846154,0.0967741935483871
7242,7252,15490,2056408,13,32,32.0,48,48,48.0,0.0967741935483871,0.6153846153846154,0.0967741935483871
7252,7262,15810,2057184,13,32,32.0,48,48,48.0,0.0967741935483871,0.6153846153846154,0.0967741935483871
7262,7272,15830,2056416,32,32,32.0,48,48,48.0,0.0967741935483871,0.0967741935483871,0.0967741935483871
7272,7282,12030,2055392,32,32,32.0,48,48,48.0,0.0967741935483871,0.0967741935483871,0.0967741935483871
7282,7292,16330,2058208,28,32,32.0,48,48,48.0,0.0967741935483871,0.12698412698412698,0.0967741935483871
7292,7302,15710,2056416,16,32,32.0,48,48,48.0,0.0967741935483871,0.4,0.0967741935483871
7302,7312,14840,2053600,12,32,29.0,48,48,48.0,0.0967741935483871,0.7272727272727273,0.1222332506203474
7312,7322,15080,2055904,12,32,32.0,48,48,48.0,0.0967741935483871,0.7272727272727273,0.0967741935483871
7322,7332,15330,2056668,13,32,32.0,48,48,48.0,0.0967741935483871,0.6153846153846154,0.0967741935483871
7332,7342,15110,2053344,13,32,32.0,48,48,48.0,0.0967741935483871,0.6153846153846154,0.0967741935483871
7342,7352,14800,2055392,13,32,32.0,48,48,48.0,0.0967741935483871,0.6153846153846154,0.0967741935483871
7352,7362,16110,2056924,32,32,32.0,48,48,48.0,0.0967741935483871,0.0967741935483871,0.0967741935483871
7362,7372,14680,2058208,13,42,32.0,48,48,48.0,0.05574912891986063,0.6153846153846154,0.0967741935483871
7372,7382,15270,2055136,19,32,32.0,48,48,48.0,0.0967741935483871,0.2807017543859649,0.0967741935483871
7382,7392,15340,2056160,19,32,32.0,48,48,48.0,0.0967741935483871,0.2807017543859649,0.0967741935483871
7392,7402,15210,2055648,12,32,32.0,48,48,48.0,0.0967741935483871,0.7272727272727273,0.0967741935483871
7402,7412,14870,2050268,12,32,32.0,48,48,48.0,0.0967741935483871,0.7272727272727273,0.0967741935483871
7412,7422,15830,2056280,32,32,32.0,48,48,48.0,0.0967741935483871,0.0967741935483871,0.0967741935483871
7422,7432,15680,2056160,32,32,32.0,48,48,48.0,0.0967741935483871,0.0967741935483871,0.0967741935483871
7432,7442,15290,2055648,25,32,28.5,48,48,48.0,0.0967741935483871,0.16,0.12838709677419355
7442,7452,16450,2056668,32,32,32.0,48,48,48.0,0.0967741935483871,0.0967741935483871,0.0967741935483871
7452,7462,15540,2055640,16,32,32.0,48,48,48.0,0.0967741935483871,0.4,0.0967741935483871
7462,7472,15930,2057696,24,32,32.0,48,48,48.0,0.0967741935483871,0.17391304347826086,0.0967741935483871
7472,7482,15870,2056156,16,32,32.0,48,48,48.0,0.0967741935483871,0.4,0.0967741935483871
7482,7492,16070,2056672,32,32,32.0,48,48,48.0,0.0967741935483871,0.0967741935483871,0.0967741935483871
7492,7502,13690,2053596,32,33,32.0,48,48,48.0,0.09090909090909091,0.0967741935483871,0.0967741935483871
7502,7512,14010,2048224,13,32,13.0,48,48,48.0,0.0967741935483871,0.6153846153846154,0.6153846153846154
7512,7522,13370,2043868,13,32,13.0,48,48,48.0,0.0967741935483871,0.6153846153846154,0.6153846153846154
7522,7532,15760,2055904,32,32,32.0,48,48,48.0,0.0967741935483871,0.0967741935483871,0.0967741935483871
7532,7542,15930,2055648,32,32,32.0,48,48,48.0,0.0967741935483871,0.0967741935483871,0.0967741935483871
7542,7552,16300,2055136,28,32,32.0,48,48,48.0,0.0967741935483871,0.12698412698412698,0.0967741935483871
7552,7562,15830,2056416,32,32,32.0,48,48,48.0,0.0967741935483871,0.0967741935483871,0.0967741935483871
7562,7572,15790,2056772,24,32,32.0,48,48,48.0,0.0967741935483871,0.17391304347826086,0.0967741935483871
7572,7582,15890,2057692,32,32,32.0,48,48,48.0,0.0967741935483871,0.0967741935483871,0.0967741935483871
7582,7592,15530,2053852,32,32,32.0,48,48,48.0,0.0967741935483871,0.0967741935483871,0.0967741935483871
7592,7602,15170,2056928,16,32,32.0,48,48,48.0,0.0967741935483871,0.4,0.0967741935483871
7602,7612,15950,2057952,32,32,32.0,48,48,48.0,0.0967741935483871,0.0967741935483871,0.0967741935483871
7612,7622,14860,2054876,19,32,23.0,48,49,48.0,0.0967741935483871,0.2807017543859649,0.19367588932806323
7622,7632,14180,2048992,13,23,23.0,49,49,49.0,0.19367588932806323,0.6282051282051282,0.19367588932806323
7632,7642,14570,2050528,13,23,23.0,49,49,49.0,0.19367588932806323,0.6282051282051282,0.19367588932806323
7642,7652,11370,2047456,13,23,18.0,49,49,49.0,0.19367588932806323,0.6282051282051282,0.4109405087665957
7652,7662,12120,2037984,13,13,13.0,49,49,49.0,0.6282051282051282,0.6282051282051282,0.6282051282051282
7662,7672,13250,2040284,13,23,13.0,49,49,49.0,0.19367588932806323,0.6282051282051282,0.6282051282051282
7672,7682,14030,2047712,13,23,23.0,49,49,49.0,0.19367588932806323,0.6282051282051282,0.19367588932806323
7682,7692,14890,2050776,23,23,23.0,49,49,49.0,0.19367588932806323,0.19367588932806323,0.19367588932806323
7692,7702,14190,2050892,13,23,23.0,49,49,49.0,0.19367588932806323,0.6282051282051282,0.19367588932806323
7702,7712,13290,2045148,13,23,13.0,49,49,49.0,0.19367588932806323,0.6282051282051282,0.6282051282051282
7712,7722,14500,2047964,13,23,23.0,49,49,49.0,0.19367588932806323,0.6282051282051282,0.19367588932806323
7722,7732,14030,2050272,13,23,23.0,49,49,49.0,0.19367588932806323,0.6282051282051282,0.19367588932806323
7732,7742,14250,2049248,13,23,23.0,49,49,49.0,0.19367588932806323,0.6282051282051282,0.19367588932806323
7742,7752,14770,2050528,23,23,23.0,49,49,49.0,0.19367588932806323,0.19367588932806323,0.19367588932806323
7752,7762,14270,2049756,11,23,23.0,49,49,49.0,0.19367588932806323,0.8909090909090909,0.19367588932806323
7762,7772,12750,2041824,11,23,13.0,49,49,49.0,0.19367588932806323,0.8909090909090909,0.6282051282051282
7772,7782,13600,2046432,13,23,18.0,49,49,49.0,0.19367588932806323,0.6282051282051282,0.4109405087665957
7782,7792,13520,2048220,13,23,16.0,49,49,49.0,0.19367588932806323,0.6282051282051282,0.45737741790373365
7792,7802,13890,2052576,13,36,13.0,50,50,50.0,0.07936507936507936,0.6410256410256411,0.6410256410256411
7802,7812,13300,2041052,13,19,13.0,50,50,50.0,0.29239766081871343,0.6410256410256411,0.6410256410256411
7812,7822,12700,2040288,13,13,13.0,50,50,50.0,0.6410256410256411,0.6410256410256411,0.6410256410256411
7822,7832,12410,2041312,13,22,13.0,50,50,50.0,0.21645021645021645,0.6410256410256411,0.6410256410256411
7832,7842,13120,2045152,13,25,13.0,50,50,50.0,0.16666666666666666,0.6410256410256411,0.6410256410256411
7842,7852,12870,2040284,13,13,13.0,50,50,50.0,0.6410256410256411,0.6410256410256411,0.6410256410256411
7852,7862,13810,2050528,13,34,13.5,50,51,50.0,0.09090909090909091,0.6410256410256411,0.5952380952380953
7862,7872,17070,2066400,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
7872,7882,16680,2066656,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
7882,7892,15400,2062304,13,34,34.0,51,51,51.0,0.09090909090909091,0.6538461538461539,0.09090909090909091
7892,7902,17200,2067684,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
7902,7912,14630,2067180,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
7912,7922,16920,2066144,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
7922,7932,16900,2066140,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
7932,7942,17230,2066396,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
7942,7952,17320,2066140,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
7952,7962,17050,2067676,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
7962,7972,16340,2066660,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
7972,7982,16400,2065116,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
7982,7992,15790,2066144,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
7992,8002,17140,2065120,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8002,8012,16690,2065120,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8012,8022,17030,2066400,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8022,8032,16490,2065116,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8032,8042,16470,2064856,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8042,8052,16470,2065880,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8052,8062,17110,2066656,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8062,8072,15220,2064608,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8072,8082,17640,2065632,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8082,8092,16990,2066912,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8092,8102,16750,2066144,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8102,8112,14060,2056416,13,34,13.0,51,51,51.0,0.09090909090909091,0.6538461538461539,0.6538461538461539
8112,8122,16030,2065120,13,34,34.0,51,51,51.0,0.09090909090909091,0.6538461538461539,0.09090909090909091
8122,8132,16800,2066396,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8132,8142,17020,2068448,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8142,8152,16540,2065372,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8152,8162,14450,2061536,13,34,34.0,51,51,51.0,0.09090909090909091,0.6538461538461539,0.09090909090909091
8162,8172,16680,2066144,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8172,8182,16850,2065888,19,34,34.0,51,51,51.0,0.09090909090909091,0.2982456140350877,0.09090909090909091
8182,8192,16770,2065372,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8192,8202,16510,2065888,13,34,34.0,51,51,51.0,0.09090909090909091,0.6538461538461539,0.09090909090909091
8202,8212,16790,2066400,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8212,8222,16940,2066136,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8222,8232,16720,2066656,19,34,34.0,51,51,51.0,0.09090909090909091,0.2982456140350877,0.09090909090909091
8232,8242,16960,2066400,13,34,34.0,51,51,51.0,0.09090909090909091,0.6538461538461539,0.09090909090909091
8242,8252,17280,2066140,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8252,8262,16620,2066144,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8262,8272,15980,2066400,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8272,8282,16400,2066400,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8282,8292,16660,2066144,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8292,8302,16490,2065884,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8302,8312,16540,2066652,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8312,8322,16380,2065888,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8322,8332,16150,2066144,17,34,34.0,51,51,51.0,0.09090909090909091,0.375,0.09090909090909091
8332,8342,16570,2066140,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8342,8352,16500,2064868,16,34,34.0,51,51,51.0,0.09090909090909091,0.425,0.09090909090909091
8352,8362,17000,2065888,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8362,8372,17040,2065232,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8372,8382,15710,2063584,17,34,27.5,51,51,51.0,0.09090909090909091,0.375,0.16688311688311688
8382,8392,16420,2064348,17,34,34.0,51,51,51.0,0.09090909090909091,0.375,0.09090909090909091
8392,8402,17230,2065888,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8402,8412,16970,2066652,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8412,8422,15880,2062560,13,34,34.0,51,51,51.0,0.09090909090909091,0.6538461538461539,0.09090909090909091
8422,8432,15240,2062304,13,34,34.0,51,51,51.0,0.09090909090909091,0.6538461538461539,0.09090909090909091
8432,8442,16490,2064864,13,34,34.0,51,51,51.0,0.09090909090909091,0.6538461538461539,0.09090909090909091
8442,8452,15430,2066144,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8452,8462,16380,2065628,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8462,8472,14340,2065808,21,34,34.0,51,51,51.0,0.09090909090909091,0.24285714285714285,0.09090909090909091
8472,8482,16770,2066656,21,34,34.0,51,51,51.0,0.09090909090909091,0.24285714285714285,0.09090909090909091
8482,8492,16990,2065888,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8492,8502,15910,2064348,12,34,34.0,51,51,51.0,0.09090909090909091,0.7727272727272727,0.09090909090909091
8502,8512,16520,2065628,13,34,34.0,51,51,51.0,0.09090909090909091,0.6538461538461539,0.09090909090909091
8512,8522,15640,2060512,13,34,34.0,51,51,51.0,0.09090909090909091,0.6538461538461539,0.09090909090909091
8522,8532,15510,2061024,13,34,34.0,51,51,51.0,0.09090909090909091,0.6538461538461539,0.09090909090909091
8532,8542,16160,2062816,12,34,34.0,51,51,51.0,0.09090909090909091,0.7727272727272727,0.09090909090909091
8542,8552,16860,2066148,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8552,8562,17000,2066396,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8562,8572,13580,2066580,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8572,8582,16800,2064604,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8582,8592,16950,2067424,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8592,8602,17170,2065628,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8602,8612,17100,2067168,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8612,8622,16700,2066400,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8622,8632,17030,2065888,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8632,8642,16580,2066652,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8642,8652,16080,2065372,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8652,8662,16910,2065888,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8662,8672,17490,2066652,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8672,8682,16630,2065376,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8682,8692,16740,2067168,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8692,8702,17190,2062304,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8702,8712,16990,2065372,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8712,8722,16710,2065376,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8722,8732,16860,2066144,34,34,34.0,51,51,51.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
8732,8742,14030,2056928,12,34,13.0,51,52,52.0,0.09090909090909091,0.7878787878787878,0.6666666666666666
8742,8752,14540,2062808,12,34,19.0,52,52,52.0,0.09269162210338681,0.7878787878787878,0.30409356725146197
8752,8762,14650,2055132,13,27,19.0,52,52,52.0,0.14814814814814814,0.6666666666666666,0.30409356725146197
8762,8772,14350,2051220,13,19,19.0,52,53,53.0,0.30994152046783624,0.6794871794871795,0.30994152046783624
8772,8782,10420,2058556,13,36,19.0,53,54,53.0,0.08571428571428572,0.6794871794871795,0.30994152046783624
8782,8792,17440,2074080,36,36,36.0,54,54,54.0,0.08571428571428572,0.08571428571428572,0.08571428571428572
8792,8802,14270,2075868,36,36,36.0,54,54,54.0,0.08571428571428572,0.08571428571428572,0.08571428571428572
8802,8812,16960,2073308,19,36,36.0,54,54,54.0,0.08571428571428572,0.3157894736842105,0.08571428571428572
8812,8822,18200,2074584,15,36,36.0,54,54,54.0,0.08571428571428572,0.5142857142857142,0.08571428571428572
8822,8832,17110,2073564,14,36,36.0,54,54,54.0,0.08571428571428572,0.5934065934065934,0.08571428571428572
8832,8842,17220,2074848,14,36,36.0,54,54,54.0,0.08571428571428572,0.5934065934065934,0.08571428571428572
8842,8852,16760,2072796,19,36,36.0,54,54,54.0,0.08571428571428572,0.3157894736842105,0.08571428571428572
8852,8862,16590,2074848,18,36,36.0,54,54,54.0,0.08571428571428572,0.35294117647058826,0.08571428571428572
8862,8872,16960,2074336,18,36,36.0,54,54,54.0,0.08571428571428572,0.35294117647058826,0.08571428571428572
8872,8882,17300,2075612,18,36,36.0,54,54,54.0,0.08571428571428572,0.35294117647058826,0.08571428571428572
8882,8892,16960,2073824,12,36,36.0,54,54,54.0,0.08571428571428572,0.8181818181818182,0.08571428571428572
8892,8902,17170,2075104,13,36,36.0,54,54,54.0,0.08571428571428572,0.6923076923076923,0.08571428571428572
8902,8912,18220,2075616,36,36,36.0,54,54,54.0,0.08571428571428572,0.08571428571428572,0.08571428571428572
8912,8922,15490,2074732,19,36,36.0,54,54,54.0,0.08571428571428572,0.3157894736842105,0.08571428571428572
8922,8932,17770,2076128,36,36,36.0,54,54,54.0,0.08571428571428572,0.08571428571428572,0.08571428571428572
8932,8942,17770,2076640,36,36,36.0,54,54,54.0,0.08571428571428572,0.08571428571428572,0.08571428571428572
8942,8952,17950,2076000,27,36,36.0,54,54,54.0,0.08571428571428572,0.15384615384615385,0.08571428571428572
8952,8962,17610,2075104,12,36,36.0,54,54,54.0,0.08571428571428572,0.8181818181818182,0.08571428571428572
8962,8972,16150,2074336,19,36,36.0,54,54,54.0,0.08571428571428572,0.3157894736842105,0.08571428571428572
8972,8982,17170,2074080,12,36,36.0,54,54,54.0,0.08571428571428572,0.8181818181818182,0.08571428571428572
8982,8992,15200,2067424,12,36,19.0,54,55,55.0,0.08571428571428572,0.8181818181818182,0.3216374269005848
8992,9002,16050,2083288,11,56,20.0,55,56,56.0,0.03636363636363636,1.0,0.29473684210526313
9002,9012,16070,2073308,16,42,24.0,56,56,56.0,0.06504065040650407,0.4666666666666667,0.2028985507246377
9012,9022,16010,2067680,19,24,24.0,56,56,56.0,0.2028985507246377,0.32748538011695905,0.2028985507246377
9022,9032,16420,2067936,16,28,24.0,56,56,56.0,0.14814814814814814,0.4666666666666667,0.2028985507246377
9032,9042,15870,2067680,24,24,24.0,56,56,56.0,0.2028985507246377,0.2028985507246377,0.2028985507246377
9042,9052,16830,2072032,16,42,24.0,56,56,56.0,0.06504065040650407,0.4666666666666667,0.2028985507246377
9052,9062,15640,2067936,24,24,24.0,56,56,56.0,0.2028985507246377,0.2028985507246377,0.2028985507246377
9062,9072,17560,2078944,20,38,33.5,56,57,56.5,0.08108108108108109,0.29473684210526313,0.10950605778191985
9072,9082,18840,2089188,19,39,38.0,57,57,57.0,0.07692307692307693,0.3333333333333333,0.08108108108108109
9082,9092,19050,2089692,38,38,38.0,57,57,57.0,0.08108108108108109,0.08108108108108109,0.08108108108108109
9092,9102,19330,2089440,38,38,38.0,57,57,57.0,0.08108108108108109,0.08108108108108109,0.08108108108108109
9102,9112,18080,2089440,16,38,38.0,57,57,57.0,0.08108108108108109,0.475,0.08108108108108109
9112,9122,18920,2089440,38,38,38.0,57,57,57.0,0.08108108108108109,0.08108108108108109,0.08108108108108109
9122,9132,18450,2083548,20,38,38.0,57,57,57.0,0.08108108108108109,0.3,0.08108108108108109
9132,9142,18640,2083292,20,38,38.0,57,57,57.0,0.08108108108108109,0.3,0.08108108108108109
9142,9152,19480,2089436,38,38,38.0,57,57,57.0,0.08108108108108109,0.08108108108108109,0.08108108108108109
9152,9162,18870,2084572,20,38,38.0,57,57,57.0,0.08108108108108109,0.3,0.08108108108108109
9162,9172,19020,2089184,38,38,38.0,57,57,57.0,0.08108108108108109,0.08108108108108109,0.08108108108108109
9172,9182,18940,2089440,38,38,38.0,57,57,57.0,0.08108108108108109,0.08108108108108109,0.08108108108108109
9182,9192,18220,2081500,38,38,38.0,57,57,57.0,0.08108108108108109,0.08108108108108109,0.08108108108108109
9192,9202,19200,2085088,38,38,38.0,57,57,57.0,0.08108108108108109,0.08108108108108109,0.08108108108108109
9202,9212,17320,2089440,38,38,38.0,57,57,57.0,0.08108108108108109,0.08108108108108109,0.08108108108108109
